O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,Vidhan_Sabha_Name
5,UJASKUMAR RAMESHBHAI PATEL,Independent,183,0,183,0.12,Gujarat-Vijapur -26
6,CHAUDHARI SHANKARBHAI DEVJIBHAI,Independent,265,2,267,0.17,Gujarat-Vijapur -26
7,PARMAR AJITKUMAR HAMIRJI,Independent,511,0,511,0.32,Gujarat-Vijapur -26
8,NOTA,None of the Above,2048,11,2059,1.29,Gujarat-Vijapur -26
1,Kamleshkumar Jayantibhai Patel,Indian National Congress,88033,1899,89932,44.01,Gujarat-Himatnagar -27
2,Parmar Anilkumar Ramanlal,Bahujan Samaj Party,1173,8,1181,0.58,Gujarat-Himatnagar -27
3,Vinendrasinh Dilipsinh Zala,Bharatiya Janata Party,97879,913,98792,48.35,Gujarat-Himatnagar -27
4,Nirmalsinh Ajabsinh Parmar,Aam Aadmi Party,9513,498,10011,4.9,Gujarat-Himatnagar -27
5,Pathan Usmangani Mahmdkhan,Independent,315,1,316,0.15,Gujarat-Himatnagar -27
6,Sanghani Salmankhan Mustakbhai,Independent,326,1,327,0.16,Gujarat-Himatnagar -27
7,Sanghani Sikandarbhai Mustakbhai,Independent,736,0,736,0.36,Gujarat-Himatnagar -27
8,Solanki Maganbhai Lakhabhai,Independent,578,1,579,0.28,Gujarat-Himatnagar -27
9,NOTA,None of the Above,2436,20,2456,1.2,Gujarat-Himatnagar -27
1,RAMANLAL ISHWARLAL VORA,Bharatiya Janata Party,113137,784,113921,55.16,Gujarat-Idar -28
2,RAMABHAI VIRCHANDBHAI SOLANKI,Indian National Congress,73801,680,74481,36.06,Gujarat-Idar -28
3,JAYANTIBHAI PRANAMI,Aam Aadmi Party,14166,402,14568,7.05,Gujarat-Idar -28
4,NOTA,None of the Above,3556,12,3568,1.73,Gujarat-Idar -28
1,Ashvin Kotval,Bharatiya Janata Party,65256,429,65685,31.86,Gujarat-Khedbrahma -29
2,Dr.Tushar Amarsinh Chaudhary,Indian National Congress,67050,299,67349,32.67,Gujarat-Khedbrahma -29
3,Gameti Bipinchandra Rupasibhai,Aam Aadmi Party,54630,960,55590,26.96,Gujarat-Khedbrahma -29
4,Dabhi Savjibhai Lakhmabhai,Bhartiya Jan Parishad,2183,5,2188,1.06,Gujarat-Khedbrahma -29
5,Pandor Ravajibhai Veljibhai,Bhartiya Tribal Party,1531,8,1539,0.75,Gujarat-Khedbrahma -29
6,Robinsonbhai Simonbhai Chauhan,Loktantrik Rashrtavadi Party,692,1,693,0.34,Gujarat-Khedbrahma -29
7,Parmar Rakeshkumar Babubhai,Independent,1317,4,1321,0.64,Gujarat-Khedbrahma -29
8,Rameshkumar Ramjibhai Modiya,Independent,1883,3,1886,0.91,Gujarat-Khedbrahma -29
9,Shantilal Asari,Independent,2591,1,2592,1.26,Gujarat-Khedbrahma -29
10,NOTA,None of the Above,7320,11,7331,3.56,Gujarat-Khedbrahma -29
1,Parghi Rajendrakumar Kantibhai,Indian National Congress,42351,480,42831,20.67,Gujarat-Bhiloda -30
2,P.C.Baranda,Bharatiya Janata Party,89626,770,90396,43.62,Gujarat-Bhiloda -30
3,Asari Amrutbhai Dharmabhai,Gujarat Nav Nirman Sena,3527,19,3546,1.71,Gujarat-Bhiloda -30
4,Rupsibhai Babubhai Bhagora,Aam Aadmi Party,60148,1480,61628,29.74,Gujarat-Bhiloda -30
5,Dr.Mark Katara,Bhartiya Tribal Party,2586,25,2611,1.26,Gujarat-Bhiloda -30
6,Varunkumar Kalyansinh Katara,Gunj Satya Ni Janata Party,1892,1,1893,0.91,Gujarat-Bhiloda -30
7,Pandor Kaushikkumar Shankarbhai,Independent,1401,1,1402,0.68,Gujarat-Bhiloda -30
8,NOTA,None of the Above,2908,8,2916,1.41,Gujarat-Bhiloda -30
1,THAKOR RAJENDRASINH SHIVSINH,Indian National Congress,62982,705,63687,34.29,Gujarat-Modasa -31
2,DAHYABHAI RAMABHAI JADAV,Communist Party of India  (Marxist),1043,1,1044,0.56,Gujarat-Modasa -31
3,BHIKHUSINHJI CHATURSINHJI PARMAR,Bharatiya Janata Party,97523,952,98475,53.02,Gujarat-Modasa -31
4,PATALA ASHOKBHAI SUKHABHAI,Insaniyat Party,993,0,993,0.53,Gujarat-Modasa -31
5,PATEL PRAVINBHAI KARSANBHAI,Rashtriya Jankranti Party,561,3,564,0.3,Gujarat-Modasa -31
6,"PROFESSOR, RAJENDRASINH HIMMATSINH PARMAR",Aam Aadmi Party,14102,669,14771,7.95,Gujarat-Modasa -31
7,NATVARBHAI MAGANBHAI PARMAR,Independent,256,1,257,0.14,Gujarat-Modasa -31
8,NINAMA HARDIKKUMAR VIRJIBHAI,Independent,176,2,178,0.1,Gujarat-Modasa -31
9,BAKROLIYA MOHAMADADNAN ABDULMAJIDBHAI,Independent,180,0,180,0.1,Gujarat-Modasa -31
10,MAHAMAD HANIFBHAI AHEMADBHAI PATEL,Independent,461,4,465,0.25,Gujarat-Modasa -31
11,RAHULKUMAR KACHARABHAI SOLANKI,Independent,1834,9,1843,0.99,Gujarat-Modasa -31
12,VAGHELA DHANJIBHAI HIRABHAI,Independent,703,0,703,0.38,Gujarat-Modasa -31
13,NOTA,None of the Above,2576,9,2585,1.39,Gujarat-Modasa -31
1,BHIKHIBEN GIRVATSINH PARMAR,Bharatiya Janata Party,60928,332,61260,35.5,Gujarat-Bayad -32
2,MAHENDRASINH SHANKERSINH VAGHELA,Indian National Congress,29579,295,29874,17.31,Gujarat-Bayad -32
3,KANTIBHAI NATHABHAI KHANT,Rashtriya Hind Ekta Dal,1664,0,1664,0.96,Gujarat-Bayad -32
4,KHANT BHUPATBHAI DANLABHAI,Gujarat Nav Nirman Sena,560,1,561,0.33,Gujarat-Bayad -32
5,CHUNIBHAI BABABHAI PATEL,Aam Aadmi Party,5743,204,5947,3.45,Gujarat-Bayad -32
6,THAKOR POKARSINH PRATAPSINH,Log Party,376,1,377,0.22,Gujarat-Bayad -32
7,PAGI LAXMANBHAI REVABHAI,Insaniyat Party,324,2,326,0.19,Gujarat-Bayad -32
8,MANGALSINH RAMANBHAI KHANT,Garvi Gujarat Party,764,1,765,0.44,Gujarat-Bayad -32
9,DHAVALSINH NARENDRASINH ZALA,Independent,66759,319,67078,38.87,Gujarat-Bayad -32
10,RAMSIBHAI LAKHABHAI BHARVAD,Independent,761,1,762,0.44,Gujarat-Bayad -32
11,HASMUKH M SAXENA (JANNAYAK),Independent,1646,16,1662,0.96,Gujarat-Bayad -32
12,NOTA,None of the Above,2302,2,2304,1.34,Gujarat-Bayad -32
1,GAJENDRASINH UDESINH PARMAR,Bharatiya Janata Party,104484,840,105324,57.23,Gujarat-Prantij -33
2,BAHECHARSINH HARISINH RATHOD,Indian National Congress,40363,339,40702,22.12,Gujarat-Prantij -33
3,ALPESHKUMAR NARESHBHAI PATEL,Aam Aadmi Party,31231,908,32139,17.46,Gujarat-Prantij -33
4,JYOTIBEN ASHOKBHAI RATHOD,Right to Recall Party,619,2,621,0.34,Gujarat-Prantij -33
5,CHAUHAN VIJAYSINH KARANSINH,Independent,1016,2,1018,0.55,Gujarat-Prantij -33
6,NADIYA CHANDUBHAI MOTIBHAI,Independent,1110,0,1110,0.6,Gujarat-Prantij -33
7,NOTA,None of the Above,3105,9,3114,1.69,Gujarat-Prantij -33
1,CHAUHAN BALRAJSINH KALYANSINH,Bharatiya Janata Party,74721,412,75133,49.26,Gujarat-Dahegam -34
2,CHAUHAN VAKHATSINH AMARASINH,Indian National Congress,58687,273,58960,38.65,Gujarat-Dahegam -34
3,ASHOKBHAI NATUBHAI RATHOD,Right to Recall Party,890,1,891,0.58,Gujarat-Dahegam -34
4,JAYENDRA K. RATHOD,Vyavastha Parivartan Party,386,4,390,0.26,Gujarat-Dahegam -34
5,RUPALBA MOHABATSINH CHAUHAN,Garvi Gujarat Party,982,3,985,0.65,Gujarat-Dahegam -34
6,SUHAG PANCHAL,Aam Aadmi Party,12180,214,12394,8.13,Gujarat-Dahegam -34
7,AMRUTBHAI PURSHOTTAMBHAI PATEL,Independent,1092,0,1092,0.72,Gujarat-Dahegam -34
8,NOTA,None of the Above,2681,8,2689,1.76,Gujarat-Dahegam -34
1,ALPESH KHODAJI THAKOR,Bharatiya Janata Party,133339,712,134051,54.59,Gujarat-Gandhinagar South -35
2,RAJESHKUMAR MANGABHAI PARMAR,Bahujan Samaj Party,1678,15,1693,0.69,Gujarat-Gandhinagar South -35
3,Dr. HIMANSHU PATEL (ADALAJ),Indian National Congress,90017,970,90987,37.05,Gujarat-Gandhinagar South -35
4,CHAUDHARI KISHORSINH SHRICHAND,Jan Sewa Driver Party,583,0,583,0.24,Gujarat-Gandhinagar South -35
5,DEVENDRABHAI(DOLATBHAI) PRAVINCHANDRA PATEL,Aam Aadmi Party,10733,462,11195,4.56,Gujarat-Gandhinagar South -35
6,RAJENDRA SURESHBHAI PARMAR,Bhartiya Jan Parishad,298,2,300,0.12,Gujarat-Gandhinagar South -35
7,ACHARYA KEYUR CHIMANBHAI,Independent,304,3,307,0.13,Gujarat-Gandhinagar South -35
8,KISHORPURI CHANDANPURI GAUSWAMI,Independent,204,3,207,0.08,Gujarat-Gandhinagar South -35
9,RAJVEER,Independent,435,1,436,0.18,Gujarat-Gandhinagar South -35
10,SOLANKI DHARMENDRAKUMAR CHIMANBHAI,Independent,577,1,578,0.24,Gujarat-Gandhinagar South -35
11,SOLANKI VINODKUMAR KACHARABHAI,Independent,799,4,803,0.33,Gujarat-Gandhinagar South -35
12,NOTA,None of the Above,4416,26,4442,1.81,Gujarat-Gandhinagar South -35
1,RITABEN KETANKUMAR PATEL,Bharatiya Janata Party,79635,988,80623,51.25,Gujarat-Gandhinagar North -36
2,VIRENDRASINH MAFAJI VAGHELA (AJITSINH-VASAN),Indian National Congress,53355,1157,54512,34.65,Gujarat-Gandhinagar North -36
3,THAKOR DHARMESH (DHAMBHA THAKOR),Garvi Gujarat Party,1024,27,1051,0.67,Gujarat-Gandhinagar North -36
4,PATEL MUKESHBHAI KARSHANBHAI,Aam Aadmi Party,15697,923,16620,10.56,Gujarat-Gandhinagar North -36
5,ALKESHBHAI BALDEVBHAI PARMAR,Independent,514,5,519,0.33,Gujarat-Gandhinagar North -36
6,PATNI MAHENDRABHAI SOMABHAI,Independent,275,4,279,0.18,Gujarat-Gandhinagar North -36
7,PATHAN MOHAMMAD IZHARKHAN ALDADKHAN,Independent,127,3,130,0.08,Gujarat-Gandhinagar North -36
8,MAHAMDFARUKH BISMILLAKHAN PATHAN,Independent,155,3,158,0.1,Gujarat-Gandhinagar North -36
9,RAJ PRAJAPATI,Independent,318,2,320,0.2,Gujarat-Gandhinagar North -36
10,SHRIMALI MRUGESHKUMAR AMRUTBHAI,Independent,500,2,502,0.32,Gujarat-Gandhinagar North -36
11,NOTA,None of the Above,2561,52,2613,1.66,Gujarat-Gandhinagar North -36
1,JAYANTIBHAI SOMABHAI PATEL (J.S. PATEL),Bharatiya Janata Party,97708,436,98144,59.29,Gujarat-Mansa -37
2,NARESHBHAI MULJIBHAI PARMAR,Bahujan Samaj Party,987,3,990,0.6,Gujarat-Mansa -37
3,BABUSINHJI MOHANSINHJI THAKOR,Indian National Congress,58460,418,58878,35.57,Gujarat-Mansa -37
4,CHAVDA RAJENDRAKUMAR GANDAJI,Rashtriya Hind Ekta Dal,510,0,510,0.31,Gujarat-Mansa -37
5,BHASKARBHAI BABUBHAI PATEL,Aam Aadmi Party,2778,187,2965,1.79,Gujarat-Mansa -37
6,RAHUL RAMAANIWAS MISHRA,National Youth Party,125,0,125,0.08,Gujarat-Mansa -37
7,ARVINDJI JIVANJI THAKOR,Independent,164,4,168,0.1,Gujarat-Mansa -37
8,THAKOR ASWINBHAI TALAJI,Independent,331,0,331,0.2,Gujarat-Mansa -37
9,BHARATKUMAR AMARAJI THAKOR,Independent,669,0,669,0.4,Gujarat-Mansa -37
10,MAHIPALSINH RAJENDRASINH VAGHELA,Independent,523,2,525,0.32,Gujarat-Mansa -37
11,NOTA,None of the Above,2225,7,2232,1.35,Gujarat-Mansa -37
1,THAKOR  LAXMANJI PUNJAJI (BAKAJI),Bharatiya Janata Party,85981,121,86102,49.41,Gujarat-Kalol -38
2,BALDEVJI CHANDUJI THAKOR,Indian National Congress,80275,94,80369,46.12,Gujarat-Kalol -38
3,MAHENDRABHAI VALJIBHAI  SOLANKI,Bahujan Samaj Party,938,2,940,0.54,Gujarat-Kalol -38
4,KANTIJI ATMARAM THAKOR (JAGIRDAR),Aam Aadmi Party,2051,18,2069,1.19,Gujarat-Kalol -38
5,THAKOR BHUPATSINH KHODAJI,Garvi Gujarat Party,177,0,177,0.1,Gujarat-Kalol -38
6,HITENDRABHAI  PAREJIYA (PATEL),Aadi Bharat Party,108,0,108,0.06,Gujarat-Kalol -38
7,UPASAK MAHENDRASHEEL SOMABHAI (B.R.P.),Independent,233,0,233,0.13,Gujarat-Kalol -38
8,THAKOR POPATJI AMAJI,Independent,173,0,173,0.1,Gujarat-Kalol -38
9,THAKOR RAMSANGJI KANTIJI,Independent,170,0,170,0.1,Gujarat-Kalol -38
10,PATEL RAJNIKANT AMBALAL  (BACHUKAKA),Independent,286,0,286,0.16,Gujarat-Kalol -38
11,PRAJAPATI KANAIYALAL KESHAVLAL  (KANUBHAI),Independent,321,1,322,0.18,Gujarat-Kalol -38
12,VAGHELA  RAMESHBHAI  DEVJIBHAI,Independent,905,0,905,0.52,Gujarat-Kalol -38
13,NOTA,None of the Above,2391,3,2394,1.37,Gujarat-Kalol -38
1,PATEL HARDIK BHARATBHAI,Bharatiya Janata Party,98627,528,99155,49.64,Gujarat-Viramgam -39
2,BHARWAD LAKHABHAI BHIKHABHAI,Indian National Congress,42412,312,42724,21.39,Gujarat-Viramgam -39
3,AMARSINH ANADAJI THAKOR,Aam Aadmi Party,47072,376,47448,23.75,Gujarat-Viramgam -39
4,ASHOK MAHENDRAPRASAD NIMBARK (MAHARAJ),Gujarat Nav Nirman Sena,732,2,734,0.37,Gujarat-Viramgam -39
5,CHETANJI MERUJI THAKOR,Garvi Gujarat Party,963,1,964,0.48,Gujarat-Viramgam -39
6,TRENTIYA RAKESHKUMAR ARVINDBHAI,Pachchasi Parivartan Samaj Party,210,0,210,0.11,Gujarat-Viramgam -39
7,NARESHBHAI RAJABHAI BHAMANI,Vyavastha Parivartan Party,371,0,371,0.19,Gujarat-Viramgam -39
8,KIRIT RATHOD,Independent,957,20,977,0.49,Gujarat-Viramgam -39
9,DEVIPUJAK RAJESHBHAI LAGHRABHAI,Independent,407,0,407,0.2,Gujarat-Viramgam -39
10,MAHENDRA K CHAUHAN (MAMA),Independent,387,8,395,0.2,Gujarat-Viramgam -39
11,MIRZA ABID ALIBHAI,Independent,451,5,456,0.23,Gujarat-Viramgam -39
12,VIRAMBHAI TALPADAKOLI,Independent,479,0,479,0.24,Gujarat-Viramgam -39
13,KO.PA.SUKHABHAI KARMANBHAI,Independent,963,0,963,0.48,Gujarat-Viramgam -39
14,HARDIKKUMAR JAGDISHCHANDRA PATEL,Independent,1217,1,1218,0.61,Gujarat-Viramgam -39
15,NOTA,None of the Above,3240,13,3253,1.63,Gujarat-Viramgam -39
1,KANUBHAI KARAMSHIBHAI PATEL,Bharatiya Janata Party,99689,394,100083,51.4,Gujarat-Sanand -40
2,CHAUHAN KALUBHAI MAPABHAI,Bahujan Samaj Party,1883,5,1888,0.97,Gujarat-Sanand -40
3,PATEL RAMESHBHAI BALABHAI,Indian National Congress,64521,193,64714,33.23,Gujarat-Sanand -40
4,ANSOYABEN PATEL,Aadi Bharat Party,688,1,689,0.35,Gujarat-Sanand -40
5,KULDIPSINH DILIPSINH VAGHELA,Aam Aadmi Party,15599,272,15871,8.15,Gujarat-Sanand -40
6,PAGI GANAPATBHAI MAVJIBHAI,Praja Vijay Paksh,405,1,406,0.21,Gujarat-Sanand -40
7,PRAJAPATI VIJAYKUMAR AMRUTBHAI,Garvi Gujarat Party,406,2,408,0.21,Gujarat-Sanand -40
8,MAHANT DEVENDRA MOHANDAS,Gunj Satya Ni Janata Party,745,1,746,0.38,Gujarat-Sanand -40
9,CHUNARA PRAKASHBHAI BHAILALBHAI,Independent,563,1,564,0.29,Gujarat-Sanand -40
10,PATEL NAVGHANBHAI MANGABHAI,Independent,292,0,292,0.15,Gujarat-Sanand -40
11,MILIND BAUDDH (MANUBHAI),Independent,3583,13,3596,1.85,Gujarat-Sanand -40
12,VAGHARI KANUBHAI GOVINDBHAI,Independent,465,1,466,0.24,Gujarat-Sanand -40
13,VAGHELA ALPESHSINH SURUBHA,Independent,389,0,389,0.2,Gujarat-Sanand -40
