O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,Vidhan_Sabha_Name,Rank
3,Manisha Vakil,Bharatiya Janata Party,130112,593,130705,70.57,Gujarat-Vadodara City -141,1.0
1,Gunvantray Parmar,Indian National Congress,31907,201,32108,17.34,Gujarat-Vadodara City -141,2.0
6,Solanki Jigarbhai Bhanuprasad,Aam Aadmi Party,15619,283,15902,8.59,Gujarat-Vadodara City -141,3.0
8,Nota,None of the Above,3989,33,4022,2.17,Gujarat-Vadodara City -141,4.0
4,Nayna Kanjibhai Parmar,Rashtriya Samaj Paksha,807,1,808,0.44,Gujarat-Vadodara City -141,5.0
2,Dilipsinh Valjibhai Kataria,Bahujan Samaj Party,795,1,796,0.43,Gujarat-Vadodara City -141,6.0
7,Rajwadi Ankitbhai,Independent,485,0,485,0.26,Gujarat-Vadodara City -141,7.0
5,Vasaikar Nilesh Jagannathbhai,Satyawadi Rakshak Party,382,3,385,0.21,Gujarat-Vadodara City -141,8.0
6,Dharmendrasinh Ranubha Vaghela (Bapu),Independent,77667,238,77905,42.65,Gujarat-Vaghodia -136,1.0
1,Ashvinbhai Natvarbhai Patel (Kaka),Bharatiya Janata Party,63781,118,63899,34.98,Gujarat-Vaghodia -136,2.0
3,Satyajitsinh Duleepsinh Gaekwad,Indian National Congress,18827,43,18870,10.33,Gujarat-Vaghodia -136,3.0
7,Madhubhai Babubhai Shrivastav,Independent,14586,59,14645,8.02,Gujarat-Vaghodia -136,4.0
4,Gautamkumar Sampatbhai Solanki (Rajput),Aam Aadmi Party,2960,35,2995,1.64,Gujarat-Vaghodia -136,5.0
8,Nota,None of the Above,2619,3,2622,1.44,Gujarat-Vaghodia -136,6.0
2,Mansukhbhai Harjibhai Chauhan,Bahujan Samaj Party,1082,2,1084,0.59,Gujarat-Vaghodia -136,7.0
5,Nimeshbhai Arunkumar Bendre,Log Party,639,0,639,0.35,Gujarat-Vaghodia -136,8.0
1,Arunsinh Ajitsinh Rana,Bharatiya Janata Party,82790,246,83036,51.84,Gujarat-Vagra -151,1.0
2,Suleman Patel,Indian National Congress,69380,204,69584,43.44,Gujarat-Vagra -151,2.0
10,Nota,None of the Above,2415,6,2421,1.51,Gujarat-Vagra -151,3.0
4,Jayendrasinh Laxmansinh Raj,Aam Aadmi Party,1899,25,1924,1.2,Gujarat-Vagra -151,4.0
6,Kamleshbhai S. Madhiwala,Independent,1337,3,1340,0.84,Gujarat-Vagra -151,5.0
9,Mubarak Ismail Dashu,Independent,688,2,690,0.43,Gujarat-Vagra -151,6.0
3,Ilyas Yusuf Mansuri,Bhartiya Tribal Party,532,1,533,0.33,Gujarat-Vagra -151,7.0
8,Talati Mustak Ismail,Independent,256,1,257,0.16,Gujarat-Vagra -151,8.0
5,Ikbal Mohmedbhai Bhomli,Independent,210,0,210,0.13,Gujarat-Vagra -151,9.0
7,Gohil  Chetanbhai Chhaganbhai,Independent,182,3,185,0.12,Gujarat-Vagra -151,10.0
2,Bharatbhai Kikubhai Patel,Bharatiya Janata Party,125809,514,126323,71.75,Gujarat-Valsad -179,1.0
6,Rajeshbhai Mangubhai Patel,Aam Aadmi Party,22067,480,22547,12.81,Gujarat-Valsad -179,2.0
1,Kamalbhai Shantilal Patel,Indian National Congress,21404,118,21522,12.23,Gujarat-Valsad -179,3.0
8,Nota,None of the Above,2800,15,2815,1.6,Gujarat-Valsad -179,4.0
7,Hemantkumar Gopalbhai Tandel,Rashtriya Samaj Paksha,877,3,880,0.5,Gujarat-Valsad -179,5.0
4,Mahesh Vinayakray Acharya,Praja Vijay Paksh,781,38,819,0.47,Gujarat-Valsad -179,6.0
3,Kamleshbhai  Bharatbhai  Yogi,Samajwadi Party,804,3,807,0.46,Gujarat-Valsad -179,7.0
5,Rajeshbhai Thakorbhai Gohil,Bharatiya Republican Paksha,333,2,335,0.19,Gujarat-Valsad -179,8.0
1,Kishor Kanani (Kumar),Bharatiya Janata Party,67117,89,67206,55.13,Gujarat-Varachha Road -161,1.0
4,Alpesh Kathiriya,Aam Aadmi Party,50285,87,50372,41.32,Gujarat-Varachha Road -161,2.0
3,Prafulbhai Togadiya (Papanbhai),Indian National Congress,2939,1,2940,2.41,Gujarat-Varachha Road -161,3.0
6,Nota,None of the Above,875,3,878,0.72,Gujarat-Varachha Road -161,4.0
2,Pyarelal Bharti,Bahujan Samaj Party,284,0,284,0.23,Gujarat-Varachha Road -161,5.0
5,Mahajan Pratibhaben Pankajbhai,Sardar Vallabhbhai Patel Party,228,0,228,0.19,Gujarat-Varachha Road -161,6.0
2,Babusinh Sarabhai Jadav,Bharatiya Janata Party,151231,479,151710,64.09,Gujarat-Vatva -43,1.0
1,Balvantsinh Hemantsang Gadhavi,Indian National Congress,51493,171,51664,21.83,Gujarat-Vatva -43,2.0
8,Bipin Patel,Aam Aadmi Party,24595,352,24947,10.54,Gujarat-Vatva -43,3.0
15,Nota,None of the Above,2721,21,2742,1.16,Gujarat-Vatva -43,4.0
3,Kalpeshbhai Narayanbhai Shete,Gunj Satya Ni Janata Party,1609,3,1612,0.68,Gujarat-Vatva -43,5.0
14,Sujith Diwakar Pandey,Independent,801,4,805,0.34,Gujarat-Vatva -43,6.0
11,Rakesh Ramdev Yadav,Samajwadi Party,557,1,558,0.24,Gujarat-Vatva -43,7.0
4,Kartik  Pandey,Praja Vijay Paksh,535,2,537,0.23,Gujarat-Vatva -43,8.0
7,Patel Nikhil Bhikhabhai,Bharatiya National Janta Dal,474,4,478,0.2,Gujarat-Vatva -43,9.0
13,Sharma Deepakkumar Vasudev,National Maha Sabha Party,384,0,384,0.16,Gujarat-Vatva -43,10.0
6,Jignaba Omkarsinh Zala,Pachchasi Parivartan Samaj Party,377,5,382,0.16,Gujarat-Vatva -43,11.0
12,Vishal Motilal Saroj,Jan Sangharsh Virat Party,321,1,322,0.14,Gujarat-Vatva -43,12.0
9,Mahendra Kunjadvala,Jan Man Party,208,0,208,0.09,Gujarat-Vatva -43,13.0
5,Chaudhari Jagbirsingh,Jan Sewa Driver Party,195,2,197,0.08,Gujarat-Vatva -43,14.0
10,Mundra Anilkumar Niranjankumar,Log Party,169,0,169,0.07,Gujarat-Vatva -43,15.0
1,Thakor Geniben Nagaji,Indian National Congress,101782,731,102513,45.26,Gujarat-Vav -7,1.0
2,Thakor Swarupji Sardarji,Bharatiya Janata Party,86224,688,86912,38.37,Gujarat-Vav -7,2.0
5,Amirambhai Shankarlal Ashal,Independent,27088,258,27346,12.07,Gujarat-Vav -7,3.0
7,Nota,None of the Above,3994,3,3997,1.76,Gujarat-Vav -7,4.0
6,Shantibhai Hajabhai Rathod,Independent,2267,22,2289,1.01,Gujarat-Vav -7,5.0
3,Parmar Nayanaben Ranabhai,Bahujan Samaj Party,1844,5,1849,0.82,Gujarat-Vav -7,6.0
