O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,Vidhan_Sabha_Name,Rank
11,Patel Sanjaybhai Jadavbhai,Independent,387,4,391,0.21,Gujarat-Botad -107,12.0
7,Moradiya Niteshbhai Purushotambhai,Right to Recall Party,369,0,369,0.2,Gujarat-Botad -107,13.0
8,Alpabala Dilipkumar Sabva,Independent,348,14,362,0.19,Gujarat-Botad -107,14.0
9,Khambhaliya Kishorbhai Ramnikbhai,Independent,260,9,269,0.14,Gujarat-Botad -107,15.0
1,Thakor Dineshbhai Ataji,Indian National Congress,85479,927,86406,46.43,Gujarat-Chanasma -17,1.0
2,Dilipkumar Virajibhai Thakor,Bharatiya Janata Party,84383,619,85002,45.67,Gujarat-Chanasma -17,2.0
4,Vishnubhai Jorabhai Patel,Aam Aadmi Party,7324,262,7586,4.08,Gujarat-Chanasma -17,3.0
8,Nota,None of the Above,3278,15,3293,1.77,Gujarat-Chanasma -17,4.0
3,Thakor Diwanji Hemaji,Garvi Gujarat Party,1455,3,1458,0.78,Gujarat-Chanasma -17,5.0
7,Baloch Jalamkhan Kayamkhan,Independent,1052,0,1052,0.57,Gujarat-Chanasma -17,6.0
6,Shankarbhai Sagarambhai Rabari,Jan Sewa Driver Party,741,4,745,0.4,Gujarat-Chanasma -17,7.0
5,Shivanandji Sarswati Gurushree Madhvanandji,Gujarat Nav Nirman Sena,572,4,576,0.31,Gujarat-Chanasma -17,8.0
1,Rajendrasinh Mohansinh Rathva,Bharatiya Janata Party,74483,646,75129,43.23,Gujarat-Chhota Udaipur -137,1.0
2,Rathwa Sangramsinh Naranbhai,Indian National Congress,45149,530,45679,26.28,Gujarat-Chhota Udaipur -137,2.0
3,Prof. Arjun  Rathva,Aam Aadmi Party,42708,1172,43880,25.25,Gujarat-Chhota Udaipur -137,3.0
6,Nota,None of the Above,5090,3,5093,2.93,Gujarat-Chhota Udaipur -137,4.0
4,Rathva Girmaabhai Mathurbhai,Bhartiya Tribal Party,2012,1,2013,1.16,Gujarat-Chhota Udaipur -137,5.0
5,Rathva Devlabhai Bhulabhai,Praja Vijay Paksh,2004,2,2006,1.15,Gujarat-Chhota Udaipur -137,6.0
3,Sandip Desai,Bharatiya Janata Party,235374,659,236033,73.12,Gujarat-Choryasi -168,1.0
6,Prakashbhai Vinodbhai Contractor,Aam Aadmi Party,49245,370,49615,15.37,Gujarat-Choryasi -168,2.0
1,Kantilal Nanubhai Patel,Indian National Congress,25761,79,25840,8.01,Gujarat-Choryasi -168,3.0
14,Nota,None of the Above,4140,29,4169,1.29,Gujarat-Choryasi -168,4.0
2,Malkhan Ramkishor Varma,Bahujan Samaj Party,2058,3,2061,0.64,Gujarat-Choryasi -168,5.0
4,Chavada Hiteshbhai,Sarvodaya Bharat Party,1060,0,1060,0.33,Gujarat-Choryasi -168,6.0
5,Juber Kashim Ansari,Samajwadi Party,774,0,774,0.24,Gujarat-Choryasi -168,7.0
7,Prajapati Roshanlal Pyarelal,National Maha Sabha Party,621,0,621,0.19,Gujarat-Choryasi -168,8.0
10,Vasava Vinodkumar,Gana Suraksha Party,538,3,541,0.17,Gujarat-Choryasi -168,9.0
12,Shekh Sheru,Independent,514,1,515,0.16,Gujarat-Choryasi -168,10.0
13,Sattar Pinjari,Independent,509,0,509,0.16,Gujarat-Choryasi -168,11.0
9,Rabari Motibhai Varshibhai,Rashtriya Samaj Paksha,501,0,501,0.16,Gujarat-Choryasi -168,12.0
11,Arun Pathak (Gabbar),Independent,315,3,318,0.1,Gujarat-Choryasi -168,13.0
8,Mansuri Aaisha,Log Party,228,0,228,0.07,Gujarat-Choryasi -168,14.0
1,Chauhan Shamajibhai Bhimajibhai,Bharatiya Janata Party,70565,474,71039,42.52,Gujarat-Chotila -63,1.0
4,Karpada Rajubhai Merambhai,Aam Aadmi Party,44862,535,45397,27.17,Gujarat-Chotila -63,2.0
3,Makwana Rutvikbhai Lavjibhai,Indian National Congress,42888,444,43332,25.94,Gujarat-Chotila -63,3.0
10,Nota,None of the Above,2561,21,2582,1.55,Gujarat-Chotila -63,4.0
2,Bhimabhai Popatbhai Dabhi,Bahujan Samaj Party,1321,11,1332,0.8,Gujarat-Chotila -63,5.0
5,Jayesh Hansrajbhai Thakor(Tamboliya),Independent,912,11,923,0.55,Gujarat-Chotila -63,6.0
9,Raydhanbhai Gandabhai Kumarkhaniya,Independent,741,1,742,0.44,Gujarat-Chotila -63,7.0
7,Madhar Vinubhai Ramjibhai,Independent,725,2,727,0.44,Gujarat-Chotila -63,8.0
8,Rathod Valjibhai Becharbhai,Independent,518,1,519,0.31,Gujarat-Chotila -63,9.0
6,Jigneshkumar Malakiya,Independent,479,7,486,0.29,Gujarat-Chotila -63,10.0
2,Shaileshbhai Kanaiyalal Mehta (Shailesh Sotta),Bharatiya Janata Party,88353,493,88846,52.01,Gujarat-Dabhoi -140,1.0
1,Balkrishnabhai Naranbhai Patel (Dholar),Indian National Congress,68029,341,68370,40.02,Gujarat-Dabhoi -140,2.0
4,Ajitsinh Parsottamdas Thakor,Aam Aadmi Party,7760,151,7911,4.63,Gujarat-Dabhoi -140,3.0
10,Nota,None of the Above,2649,6,2655,1.55,Gujarat-Dabhoi -140,4.0
9,Hemantkumar Arvindbhai Parmar,Independent,903,3,906,0.53,Gujarat-Dabhoi -140,5.0
3,Shaukatali Abdal,Bahujan Samaj Party,775,1,776,0.45,Gujarat-Dabhoi -140,6.0
8,Rohit Navinbhai Krushnkant,Independent,391,0,391,0.23,Gujarat-Dabhoi -140,7.0
6,Pruthvisinh Ranvirsinh Gohil (Bapu),Rashtriya Samaj Paksha,324,6,330,0.19,Gujarat-Dabhoi -140,8.0
7,Yusufbhai Gulamhusen Fatiya (Patrkar),Independent,318,1,319,0.19,Gujarat-Dabhoi -140,9.0
5,Patel Jayeshbhai Chimanbhai,Bhartiya Tribal Party,317,0,317,0.19,Gujarat-Dabhoi -140,10.0
1,Chauhan Balrajsinh Kalyansinh,Bharatiya Janata Party,74721,412,75133,49.26,Gujarat-Dahegam -34,1.0
2,Chauhan Vakhatsinh Amarasinh,Indian National Congress,58687,273,58960,38.65,Gujarat-Dahegam -34,2.0
6,Suhag Panchal,Aam Aadmi Party,12180,214,12394,8.13,Gujarat-Dahegam -34,3.0
8,Nota,None of the Above,2681,8,2689,1.76,Gujarat-Dahegam -34,4.0
7,Amrutbhai Purshottambhai Patel,Independent,1092,0,1092,0.72,Gujarat-Dahegam -34,5.0
5,Rupalba Mohabatsinh Chauhan,Garvi Gujarat Party,982,3,985,0.65,Gujarat-Dahegam -34,6.0
3,Ashokbhai Natubhai Rathod,Right to Recall Party,890,1,891,0.58,Gujarat-Dahegam -34,7.0
4,Jayendra K. Rathod,Vyavastha Parivartan Party,386,4,390,0.26,Gujarat-Dahegam -34,8.0
1,Kanaiyalal Bachubhai Kishori,Bharatiya Janata Party,72198,462,72660,43.54,Gujarat-Dahod -132,1.0
2,Harshadbhai Valchandbhai Ninama,Indian National Congress,43130,180,43310,25.95,Gujarat-Dahod -132,2.0
5,Pro. Dr. Dineshbhai Bhurabhai Muniya,Aam Aadmi Party,33486,524,34010,20.38,Gujarat-Dahod -132,3.0
6,Kishanbhai Meghjibhai Palas,Independent,10783,25,10808,6.48,Gujarat-Dahod -132,4.0
7,Nota,None of the Above,3036,10,3046,1.83,Gujarat-Dahod -132,5.0
4,Meda Devendrabhai Laxmanbhai (Devabhai),Bhartiya Tribal Party,1608,6,1614,0.97,Gujarat-Dahod -132,6.0
3,Mandod Vinodkumar Pratapsinh (Khannasir),Bahujan Samaj Party,1442,4,1446,0.87,Gujarat-Dahod -132,7.0
2,Vijaybhai Rameshbhai Patel,Bharatiya Janata Party,62153,380,62533,47.54,Gujarat-Dangs -173,1.0
1,Patel Mukeshbhai Chandarbhai,Indian National Congress,42436,423,42859,32.58,Gujarat-Dangs -173,2.0
4,Gamit Sunilbhai Chandubhai,Aam Aadmi Party,20278,544,20822,15.83,Gujarat-Dangs -173,3.0
7,Nota,None of the Above,1902,8,1910,1.45,Gujarat-Dangs -173,4.0
3,Sangitaben Maheshbhai Ahire,Bahujan Samaj Party,1459,9,1468,1.12,Gujarat-Dangs -173,5.0
6,Aestarben Kesharbhai Pawar,Independent,1100,3,1103,0.84,Gujarat-Dangs -173,6.0
5,Nileshbhai Shivajibhai Zambare,Bhartiya Tribal Party,844,3,847,0.64,Gujarat-Dangs -173,7.0
2,Shailesh Manubhai Parmar,Indian National Congress,68906,224,69130,44.13,Gujarat-Danilimda -54,1.0
1,Nareshbhai Shankarbhai Vyas( Satish Vyas),Bharatiya Janata Party,55381,262,55643,35.52,Gujarat-Danilimda -54,2.0
3,Kapadiya Dineshbhai Somabhai,Aam Aadmi Party,22934,317,23251,14.84,Gujarat-Danilimda -54,3.0
4,Kaushikabahen Dilipbhai Parmar,All India Majlis-E-Ittehadul Muslimeen,2464,6,2470,1.58,Gujarat-Danilimda -54,4.0
13,Nota,None of the Above,2163,18,2181,1.39,Gujarat-Danilimda -54,5.0
11,Jamnaben Sureshbhai Vegda,Independent,1492,9,1501,0.96,Gujarat-Danilimda -54,6.0
12,Sindhav Parsotambhai Gorabhai,Independent,731,7,738,0.47,Gujarat-Danilimda -54,7.0
6,Nileshkumar Keshavbhai Parmar,Jan Sewa Driver Party,513,4,517,0.33,Gujarat-Danilimda -54,8.0
9,Vaghela Vasantbhai Khodidas,Swatantrata Abhivyakti Party,415,1,416,0.27,Gujarat-Danilimda -54,9.0
10,Vaghela Vikrambhai Mangalbhai,Rashtriya Power Party,269,2,271,0.17,Gujarat-Danilimda -54,10.0
5,Chhanabhai Pashabhai Parmar,Garvi Gujarat Party,243,0,243,0.16,Gujarat-Danilimda -54,11.0
8,Rathod Kankuben Muljibhai,SOCIAL DEMOCRATIC PARTY OF INDIA,192,1,193,0.12,Gujarat-Danilimda -54,12.0
7,Parmar Kasturbhai Ranchhodbhai,Praja Vijay Paksh,95,0,95,0.06,Gujarat-Danilimda -54,13.0
1,Kantibhai Kalabhai Kharadi,Indian National Congress,84691,443,85134,46.42,Gujarat-Danta -10,1.0
2,Parghi Latubhai Chandabhai,Bharatiya Janata Party,78251,556,78807,42.97,Gujarat-Danta -10,2.0
3,Bumbadiya Mahendrabhai Kesharabhai,Aam Aadmi Party,11861,320,12181,6.64,Gujarat-Danta -10,3.0
5,Nota,None of the Above,5201,12,5213,2.84,Gujarat-Danta -10,4.0
4,Dhrangi Kalabhai Mavabhai,Independent,2073,9,2082,1.14,Gujarat-Danta -10,5.0
1,Kaushikbhai Sukhlal Jain (Kaushik Jain),Bharatiya Janata Party,61090,400,61490,49.05,Gujarat-Dariapur -51,1.0
2,Gyasuddin Habibuddeen Shaikh,Indian National Congress,55847,158,56005,44.67,Gujarat-Dariapur -51,2.0
3,Tajmohammed Habibbhai Kureshi,Aam Aadmi Party,4164,195,4359,3.48,Gujarat-Dariapur -51,3.0
5,Hasankhan Samsherkhan Pathan (Hasanlala),All India Majlis-E-Ittehadul Muslimeen,1771,1,1772,1.41,Gujarat-Dariapur -51,4.0
8,Nota,None of the Above,1276,14,1290,1.03,Gujarat-Dariapur -51,5.0
7,Solanki Dipeshbhai Parmanandbhai,Independent,204,8,212,0.17,Gujarat-Dariapur -51,6.0
4,Mo. Tahir Alimiya,Dhanwan Bharat Party,140,2,142,0.11,Gujarat-Dariapur -51,7.0
6,Gulamrashul Gulamnabi Bagban (Bataka Wala),Independent,96,0,96,0.08,Gujarat-Dariapur -51,8.0
2,P.K.Parmar,Bharatiya Janata Party,75743,601,76344,45.56,Gujarat-Dasada -60,1.0
1,Naushad Solanki,Indian National Congress,73607,558,74165,44.26,Gujarat-Dasada -60,2.0
4,Arvindbhai Kalubhai Solanki,Aam Aadmi Party,10060,264,10324,6.16,Gujarat-Dasada -60,3.0
10,Nota,None of the Above,3126,21,3147,1.88,Gujarat-Dasada -60,4.0
9,R.B.Vaghela,Independent,1051,3,1054,0.63,Gujarat-Dasada -60,5.0
3,Solanki Kisanbhai Vajubhai,Bahujan Samaj Party,1039,2,1041,0.62,Gujarat-Dasada -60,6.0
8,Maurya Mitvardhan  Naranbhai,Independent,501,0,501,0.3,Gujarat-Dasada -60,7.0
5,Maheshbhai Virjibhai Rathod,Aadi Bharat Party,433,3,436,0.26,Gujarat-Dasada -60,8.0
6,Anand P Rathod,Independent,308,4,312,0.19,Gujarat-Dasada -60,9.0
7,Makwana Ukabhai Amarabhai,Independent,260,0,260,0.16,Gujarat-Dasada -60,10.0
2,Babubhai Jamnadas Patel (B.J.P.),Bharatiya Janata Party,158485,622,159107,62.93,Gujarat-Daskroi -57,1.0
1,Umedji Budhaji Zala,Indian National Congress,67135,335,67470,26.69,Gujarat-Daskroi -57,2.0
3,Kirankumar Sureshchandra Patel,Aam Aadmi Party,19085,559,19644,7.77,Gujarat-Daskroi -57,3.0
7,Nota,None of the Above,4160,29,4189,1.66,Gujarat-Daskroi -57,4.0
6,Kanani Dhruvinbhai Narsinhbhai,Independent,1108,3,1111,0.44,Gujarat-Daskroi -57,5.0
5,Parihar Rajeshsing Jesingbhai,Garvi Gujarat Party,740,2,742,0.29,Gujarat-Daskroi -57,6.0
4,Goswami Vishnugiri Somgiri,Praja Vijay Paksh,555,3,558,0.22,Gujarat-Daskroi -57,7.0
3,Chaitarbhai Damjibhai Vasava,Aam Aadmi Party,102402,1031,103433,55.87,Gujarat-Dediapada -149,1.0
2,Hiteshkumar Devjibhai Vasava,Bharatiya Janata Party,62999,152,63151,34.11,Gujarat-Dediapada -149,2.0
1,Jermaben Suklal Vasava,Indian National Congress,12552,35,12587,6.8,Gujarat-Dediapada -149,3.0
4,Bahadursing Devjibhai Vasava,Bhartiya Tribal Party,2985,6,2991,1.62,Gujarat-Dediapada -149,4.0
5,Nota,None of the Above,2972,2,2974,1.61,Gujarat-Dediapada -149,5.0
1,Pravinkumar Gordhanji Mali,Bharatiya Janata Party,97330,676,98006,45.51,Gujarat-Deesa -13,1.0
2,Sanjaykumar Govabhai Rabari,Indian National Congress,54977,382,55359,25.71,Gujarat-Deesa -13,2.0
10,Lebjibhai Thakor,Independent,44890,168,45058,20.92,Gujarat-Deesa -13,3.0
5,Dr.Rameshbhai Patel,Aam Aadmi Party,9003,325,9328,4.33,Gujarat-Deesa -13,4.0
12,Nota,None of the Above,2845,6,2851,1.32,Gujarat-Deesa -13,5.0
11,Vaghela Gajubha Mohansing,Independent,1235,1,1236,0.57,Gujarat-Deesa -13,6.0
3,Ashokbhai Popatbhai Parmar,Garvi Gujarat Party,944,0,944,0.44,Gujarat-Deesa -13,7.0
7,Jayantibhai  Navabhai Chaudhary,Independent,934,0,934,0.43,Gujarat-Deesa -13,8.0
9,Patel Jayantibhai Sagthabhai,Independent,534,0,534,0.25,Gujarat-Deesa -13,9.0
6,Soni Nitinkumar,Praja Vijay Paksh,450,0,450,0.21,Gujarat-Deesa -13,10.0
8,Dineshbhai Sagthabhai Patel,Independent,329,3,332,0.15,Gujarat-Deesa -13,11.0
4,Jashvantkumar Padhiyar,National Maha Sabha Party,322,2,324,0.15,Gujarat-Deesa -13,12.0
1,Keshaji Shivaji Chauhan,Bharatiya Janata Party,108560,563,109123,56.66,Gujarat-Deodar -14,1.0
3,Shivabhai Amarabhai Bhuriya,Indian National Congress,70007,702,70709,36.71,Gujarat-Deodar -14,2.0
5,Bhemabhai Ragnathbhai Chaudhary,Aam Aadmi Party,4863,202,5065,2.63,Gujarat-Deodar -14,3.0
6,Nota,None of the Above,3065,6,3071,1.59,Gujarat-Deodar -14,4.0
2,Mansungbhai Mashrubhai Parmar,Bahujan Samaj Party,2463,3,2466,1.28,Gujarat-Deodar -14,5.0
4,Nayansinh Narsinhbhai Padhar,Praja Vijay Paksh,2149,20,2169,1.13,Gujarat-Deodar -14,6.0
1,Khabad Bachubhai Maganbhai,Bharatiya Janata Party,113038,489,113527,58.27,Gujarat-Devgadhbaria -134,1.0
3,Vakhala Bharatsinh Pratapbhai,Aam Aadmi Party,68704,622,69326,35.58,Gujarat-Devgadhbaria -134,2.0
2,Chauhan Samatsinh Mansukhbhai,Praja Vijay Paksh,5125,56,5181,2.66,Gujarat-Devgadhbaria -134,3.0
5,Nota,None of the Above,4818,3,4821,2.47,Gujarat-Devgadhbaria -134,4.0
4,Patel Bhimsing Maganbhai,Independent,1983,1,1984,1.02,Gujarat-Devgadhbaria -134,5.0
1,Kalubhai Rupabhai Dabhi,Bharatiya Janata Party,90982,546,91528,55.1,Gujarat-Dhandhuka -59,1.0
4,Harpalsinh Jagdevsinh Chudasama,Indian National Congress,56746,456,57202,34.44,Gujarat-Dhandhuka -59,2.0
7,Chandubhai Mansangbhai Bamroliya,Aam Aadmi Party,9605,261,9866,5.94,Gujarat-Dhandhuka -59,3.0
12,Nota,None of the Above,2886,7,2893,1.74,Gujarat-Dhandhuka -59,4.0
2,Jiniya Pravinbhai Mohanbhai,Bahujan Samaj Party,991,2,993,0.6,Gujarat-Dhandhuka -59,5.0
9,Gohel Hareshkumar Arvindbhai,Bhartiya Tribal Party,643,5,648,0.39,Gujarat-Dhandhuka -59,6.0
5,Ashokbhai V. Patel,Jan Sewa Driver Party,631,3,634,0.38,Gujarat-Dhandhuka -59,7.0
11,Vaghela Rameshbhai Virsangbhai,Independent,626,0,626,0.38,Gujarat-Dhandhuka -59,8.0
3,Gorahawa Roshaniben Prithviraj,Communist Party of India  (Marxist),489,0,489,0.29,Gujarat-Dhandhuka -59,9.0
10,Ghoghari Gullammayudin Latifbhai,Independent,464,3,467,0.28,Gujarat-Dhandhuka -59,10.0
6,Ravjibhai Vallabhbhai Kaliya,Vyavastha Parivartan Party,380,2,382,0.23,Gujarat-Dhandhuka -59,11.0
8,Tulashibhai Puranbhai Solanki,Right to Recall Party,370,0,370,0.22,Gujarat-Dhandhuka -59,12.0
8,Mavjibhai Maganbhai Desai,Independent,95600,453,96053,46.96,Gujarat-Dhanera -9,1.0
2,Patel Bhagvanbhai Hajabhai,Bharatiya Janata Party,59943,414,60357,29.51,Gujarat-Dhanera -9,2.0
1,Patel Nathabhai Hegolabhai,Indian National Congress,37922,338,38260,18.7,Gujarat-Dhanera -9,3.0
9,Nota,None of the Above,3809,2,3811,1.86,Gujarat-Dhanera -9,4.0
3,Prakashbhai Revabhai Solanki,Bahujan Samaj Party,2137,17,2154,1.05,Gujarat-Dhanera -9,5.0
7,Dineshbhai Pataji Chauhan,Independent,1395,0,1395,0.68,Gujarat-Dhanera -9,6.0
4,Devda Sureshkumar Trikamaji,Aam Aadmi Party,1083,47,1130,0.55,Gujarat-Dhanera -9,7.0
6,Dalpatji Kesarji Chauhan,Independent,966,8,974,0.48,Gujarat-Dhanera -9,8.0
5,Lashabhai Lavajibhai Bajag,Janata Dal  (Secular),426,1,427,0.21,Gujarat-Dhanera -9,9.0
1,Arvind Chhotubhai Patel,Bharatiya Janata Party,83250,294,83544,42.24,Gujarat-Dharampur -178,1.0
4,Kamleshbhai Ghelabhai Patel,Aam Aadmi Party,49544,673,50217,25.39,Gujarat-Dharampur -178,2.0
2,Kishanbhai V. Patel,Indian National Congress,33409,98,33507,16.94,Gujarat-Dharampur -178,3.0
7,Kalpesh  Patel,Independent,19410,80,19490,9.85,Gujarat-Dharampur -178,4.0
10,Nota,None of the Above,4178,11,4189,2.12,Gujarat-Dharampur -178,5.0
9,Janubhai Dhakalbhai Kakad,Independent,1944,1,1945,0.98,Gujarat-Dharampur -178,6.0
8,Ganvit Kalpeshbhai Maganbhai,Independent,1674,3,1677,0.85,Gujarat-Dharampur -178,7.0
3,Ratilal Vajirbhai Thakrya,Bahujan Samaj Party,1459,2,1461,0.74,Gujarat-Dharampur -178,8.0
5,Barat Anandbhai Dubiyabhai,Communist Party of India  (Marxist-Leninist)  (Liberation),890,0,890,0.45,Gujarat-Dharampur -178,9.0
6,Sureshbhai Ballubhai Patel,Bhartiya Tribal Party,881,1,882,0.45,Gujarat-Dharampur -178,10.0
1,Kakadiya Jaysukhbhai Vallabhbhai (Kakadiya J.V.),Bharatiya Janata Party,45954,512,46466,39.0,Gujarat-Dhari -94,1.0
6,Satasiya Kantibhai Shambhubhai,Aam Aadmi Party,37341,408,37749,31.68,Gujarat-Dhari -94,2.0
2,Kirtikumar Kanubhai Borisagar,Indian National Congress,17708,270,17978,15.09,Gujarat-Dhari -94,3.0
11,Vala Upendrabhai Valkubhai,Independent,9530,95,9625,8.08,Gujarat-Dhari -94,4.0
3,Payal Bhavin Patel,Janata Dal  (Secular),2233,9,2242,1.88,Gujarat-Dhari -94,5.0
12,Nota,None of the Above,1830,15,1845,1.55,Gujarat-Dhari -94,6.0
4,Bhupatbhai Chhaganbhai Unava,Vyavastha Parivartan Party,876,5,881,0.74,Gujarat-Dhari -94,7.0
10,Parmar Imranbhai Valibhai,Independent,681,1,682,0.57,Gujarat-Dhari -94,8.0
9,Chaturbhai Parshotambhai Rudani,Independent,666,2,668,0.56,Gujarat-Dhari -94,9.0
7,Sureshbhai Dilubhai Parmar,Rashtriya Power Party,375,2,377,0.32,Gujarat-Dhari -94,10.0
5,Vijaybhai Amrutbhai Chavda,Log Party,372,2,374,0.31,Gujarat-Dhari -94,11.0
8,Sojitra Hiteshbhai Gobarbhai,Rashtriya Hind Ekta Dal,259,1,260,0.22,Gujarat-Dhari -94,12.0
2,Kiritsinh Sardarsang Dabhi,Bharatiya Janata Party,84213,560,84773,49.77,Gujarat-Dholka -58,1.0
1,Ashvinbhai Kamshubhai Rathod,Indian National Congress,70826,542,71368,41.9,Gujarat-Dholka -58,2.0
4,Jatubha Bhurubha Gol,Aam Aadmi Party,4431,201,4632,2.72,Gujarat-Dholka -58,3.0
16,Nota,None of the Above,2319,6,2325,1.36,Gujarat-Dholka -58,4.0
7,Thakor Arvindkumar Ranchhodbhai,Garvi Gujarat Party,2074,2,2076,1.22,Gujarat-Dholka -58,5.0
15,Vhora Salimbhai Ismailbhai,Independent,1273,0,1273,0.75,Gujarat-Dholka -58,6.0
3,Vidhyaben Bhailalbhai Pandav,Bahujan Samaj Party,1217,12,1229,0.72,Gujarat-Dholka -58,7.0
14,Vhora Ikramudinbhai Bachubhai,Independent,579,0,579,0.34,Gujarat-Dholka -58,8.0
11,Rathod Manubhai Kanjibhai,Independent,377,1,378,0.22,Gujarat-Dholka -58,9.0
12,Rathod Hasmukhbhai Kanubhai,Independent,376,0,376,0.22,Gujarat-Dholka -58,10.0
9,Parmar Vijaykumar Vajubhai,Independent,301,2,303,0.18,Gujarat-Dholka -58,11.0
13,Vaghela Ramanbhai Kaljibhai,Independent,292,3,295,0.17,Gujarat-Dholka -58,12.0
10,Rathod Bharatbhai Ravjibhai,Independent,234,0,234,0.14,Gujarat-Dholka -58,13.0
8,Patel Yogeshkumar Nabhubhai,Independent,196,0,196,0.12,Gujarat-Dholka -58,14.0
6,Jogadia Vinodbhai Mavdas,Praja Vijay Paksh,154,1,155,0.09,Gujarat-Dholka -58,15.0
5,Jadav Vijaykumar Govindbhai,Log Party,139,0,139,0.08,Gujarat-Dholka -58,16.0
2,Dr. Mahendrabhai Padalia,Bharatiya Janata Party,65871,559,66430,42.84,Gujarat-Dhoraji -75,1.0
3,Lalit Vasoya,Indian National Congress,53780,402,54182,34.95,Gujarat-Dhoraji -75,2.0
4,Vipul Sakhiya,Aam Aadmi Party,29353,441,29794,19.22,Gujarat-Dhoraji -75,3.0
8,Nota,None of the Above,1603,17,1620,1.04,Gujarat-Dhoraji -75,4.0
1,Prabhat Govind Solanki,Bahujan Samaj Party,1561,16,1577,1.02,Gujarat-Dhoraji -75,5.0
7,Sirajbhai Ababhai Khebhar,Independent,529,0,529,0.34,Gujarat-Dhoraji -75,6.0
6,Parmar Sahid (Hedli),Independent,466,1,467,0.3,Gujarat-Dhoraji -75,7.0
5,Jafar Gani Pinjara,Independent,448,2,450,0.29,Gujarat-Dhoraji -75,8.0
2,Prakashbhai Parsotambhai  Varmora,Bharatiya Janata Party,101956,888,102844,48.88,Gujarat-Dhrangadhra -64,1.0
1,Gunjariya Chhatrasinh Shankarbhai,Indian National Congress,69561,310,69871,33.21,Gujarat-Dhrangadhra -64,2.0
4,Vaghjibhai Karshanbhai  Kaila,Aam Aadmi Party,27586,541,28127,13.37,Gujarat-Dhrangadhra -64,3.0
14,Nota,None of the Above,3592,21,3613,1.72,Gujarat-Dhrangadhra -64,4.0
3,Samrat Jayraj Prabhubhai,Bahujan Samaj Party,1511,13,1524,0.72,Gujarat-Dhrangadhra -64,5.0
13,Surela Laljibhai Khodabhai,Independent,1479,1,1480,0.7,Gujarat-Dhrangadhra -64,6.0
12,Vijaykumar Dilipbhai Chavda,Independent,667,0,667,0.32,Gujarat-Dhrangadhra -64,7.0
6,Parmar Kanjibhai Govindbhai,Independent,627,4,631,0.3,Gujarat-Dhrangadhra -64,8.0
11,Makwana Shantilal Pamabhai,Independent,338,0,338,0.16,Gujarat-Dhrangadhra -64,9.0
5,Chauhan Jerambhai Govindbhai,Independent,331,2,333,0.16,Gujarat-Dhrangadhra -64,10.0
10,Makwana Govindbhai Lalabhai,Independent,316,0,316,0.15,Gujarat-Dhrangadhra -64,11.0
9,Makwana Ukabhai Amrabhai,Independent,254,2,256,0.12,Gujarat-Dhrangadhra -64,12.0
7,Parmar Rajuben Ravindrabhai,Independent,194,0,194,0.09,Gujarat-Dhrangadhra -64,13.0
8,Bobda Nazirhusen Gulabbhai,Independent,185,1,186,0.09,Gujarat-Dhrangadhra -64,14.0
2,Pabubha Virambha Manek,Bharatiya Janata Party,73350,668,74018,41.08,Gujarat-Dwarka -82,1.0
1,Ahir Mulubhai Ranmalbhai Kandoriya,Indian National Congress,68275,416,68691,38.12,Gujarat-Dwarka -82,2.0
6,Lakhmanbhai Boghabhai Nakum,Aam Aadmi Party,28023,358,28381,15.75,Gujarat-Dwarka -82,3.0
14,Nota,None of the Above,2897,22,2919,1.62,Gujarat-Dwarka -82,4.0
4,Parmani Kishankumar Himantlal,Garvi Gujarat Party,1382,9,1391,0.77,Gujarat-Dwarka -82,5.0
13,Bhagvanji H. Thobhani,Independent,1149,2,1151,0.64,Gujarat-Dwarka -82,6.0
3,Hathal Chandrasinh Sadurbha,Bahujan Samaj Party,820,1,821,0.46,Gujarat-Dwarka -82,7.0
5,Madam Nathabhai Fogabhai,Gujarat Nav Nirman Sena,595,3,598,0.33,Gujarat-Dwarka -82,8.0
12,Nagash Karashanbhai Jeshabhai,Independent,521,5,526,0.29,Gujarat-Dwarka -82,9.0
8,Asharafmiya Sidikmiya Kadri,Independent,486,0,486,0.27,Gujarat-Dwarka -82,10.0
7,Hamir Dadu Der,Samajwadi Party,391,3,394,0.22,Gujarat-Dwarka -82,11.0
11,Devendra Fogabha Manek,Independent,330,0,330,0.18,Gujarat-Dwarka -82,12.0
10,Ghediya Amit Jagdishbhai,Independent,286,3,289,0.16,Gujarat-Dwarka -82,13.0
9,Kishor Khimabhai Chavada,Independent,201,5,206,0.11,Gujarat-Dwarka -82,14.0
1,Amit Shah,Bharatiya Janata Party,118803,520,119323,80.39,Gujarat-Ellisbridge -44,1.0
2,Bhikhubhai Hargovindbhai Dave (Bhikhu Dave -108),Indian National Congress,14440,87,14527,9.79,Gujarat-Ellisbridge -44,2.0
5,Paras Rupeshkumar Shah,Aam Aadmi Party,9333,134,9467,6.38,Gujarat-Ellisbridge -44,3.0
10,Nota,None of the Above,3041,15,3056,2.06,Gujarat-Ellisbridge -44,4.0
3,Moradiya Pravinbhai Mavjibhai,Bahujan Samaj Party,1074,3,1077,0.73,Gujarat-Ellisbridge -44,5.0
4,Meenakshi Joshi,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),306,2,308,0.21,Gujarat-Ellisbridge -44,6.0
